Region,County,County Centroid,FIPS
NYC,BRONX,"(40.8448, -73.8648)",36005
NYC,KINGS,"(40.6782, -73.9442)",36047
NYC,RICHMOND,"(40.5795, -74.1502)",36085
CAPITAL DISTRICT,ALBANY,"(42.5882713, -73.9740136)",36001
CAPITAL DISTRICT,SCHENECTADY,"(42.8175421, -74.0435834)",36093
WESTERN,CHAUTAUQUA,"(42.3042159, -79.4075949)",36013
METRO,DUTCHESS,"(41.7550085, -73.7399512)",36027
CENTRAL,CORTLAND,"(42.5938237, -76.0762647)",36023
CAPITAL DISTRICT,RENSSELAER,"(42.7104206, -73.5138454)",36083
CENTRAL,CAYUGA,"(43.0085456, -76.5745866)",36011
CENTRAL,ONONDAGA,"(43.0065299, -76.1961167)",36067
WESTERN,GENESEE,"(43.0009096, -78.1927784)",36037
CAPITAL DISTRICT,COLUMBIA,"(42.2477286, -73.6268046)",36021
METRO,NASSAU,"(40.7506561, -73.582905)",36059
CENTRAL,ONEIDA,"(43.2427273, -75.4342824)",36065
CENTRAL,CHENANGO,"(42.489732, -75.6049051)",36017
WESTERN,LIVINGSTON,"(42.7274845, -77.7697795)",36051
WESTERN,ERIE,"(42.752759, -78.7781922)",36029
WESTERN,ALLEGANY,"(42.2478938, -78.0261758)",36003
WESTERN,ORLEANS,"(43.209007, -78.254897)",36073
WESTERN,CATTARAUGUS,"(42.2448527, -78.6810055)",36009
CAPITAL DISTRICT,CLINTON,"(44.7527103, -73.7056478)",36019
WESTERN,WAYNE,"(43.202, -77.0104)",36117
CAPITAL DISTRICT,GREENE,"(42.2869511, -74.1494949)",36039
METRO,ROCKLAND,"(41.1547851, -74.0247721)",36087
CENTRAL,JEFFERSON,"(44.0607, -75.9928)",36045
METRO,PUTNAM,"(41.4351, -73.7949)",36079
CAPITAL DISTRICT,FRANKLIN,"(44.5943743, -74.3106698)",36033
CAPITAL DISTRICT,ESSEX,"(44.1089711, -73.7775726)",36031
WESTERN,WYOMING,"(42.7013627, -78.2285667)",36121
CENTRAL,LEWIS,"(43.7863965, -75.4426165)",36049
WESTERN,YATES,"(42.6431, -77.1485)",36123
METRO,SUFFOLK,"(40.943554, -72.6922184)",36103
CAPITAL DISTRICT,WARREN,"(43.5551053, -73.8381388)",36113
CAPITAL DISTRICT,OTSEGO,"(42.6297762, -75.028841)",36077
CENTRAL,HERKIMER,"(43.1631, -74.8741)",36043
CAPITAL DISTRICT,MONTGOMERY,"(42.9008912, -74.4353575)",36057
WESTERN,STEUBEN,"(42.2667252, -77.3855253)",36101
CAPITAL DISTRICT,SCHOHARIE,"(42.591294, -74.4381718)",36095
CAPITAL DISTRICT,FULTON,"(43.1156093, -74.4236782)",36035
NYC,NEW YORK,"(40.7831, -73.9712)",36061
WESTERN,SENECA,"(42.7652, -76.8721)",36099
WESTERN,CHEMUNG,"(42.1552807, -76.7471788)",36015
CAPITAL DISTRICT,SARATOGA,"(43.1061353, -73.8553872)",36091
WESTERN,NIAGARA,"(43.203001, -78.71083)",36063
CENTRAL,BROOME,"(42.1619773, -75.830291)",36007
CENTRAL,MADISON,"(42.9100255, -75.6635749)",36053
WESTERN,ONTARIO,"(42.8566949, -77.3032768)",36069
METRO,ULSTER,"(41.9472321, -74.265447)",36111
METRO,WESTCHESTER,"(41.1527698, -73.745912)",36119
CAPITAL DISTRICT,DELAWARE,"(42.1939865, -74.966728)",36025
METRO,ORANGE,"(41.4024096, -74.3062522)",36071
CENTRAL,TOMPKINS,"(42.4532811, -76.4737116)",36109
WESTERN,SCHUYLER,"(42.419776, -76.9386038)",36097
NYC,QUEENS,"(40.7282, -73.7949)",36081
METRO,SULLIVAN,"(41.7201763, -74.7646796)",36105
WESTERN,MONROE,"(43.174966, -77.639663)",36055
CAPITAL DISTRICT,WASHINGTON,"(43.3123766, -73.4394282)",36115
CENTRAL,ST LAWRENCE,"(44.4881125, -75.074311)",36089
CAPITAL DISTRICT,HAMILTON,"(43.6578786, -74.5024556)",36041
CENTRAL,OSWEGO,"(43.4614428, -76.209258)",36075
CENTRAL,TIOGA,"(42.1256, -76.3637)",36107
